time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-11-15 05:22:29.034 UTC, ,125,3162149,1264,16184,112, ,4, ,23,3,0.13, , , , , , , ,4,4, ,2, ,2,1,7, ,12,4, , , , , , , , , , , , , ,945,1, ,369, , , , , ,50,50, , , , , ,2,4, , , , , , , , , , , , , , , , , , , , , , , , ,1479187348751,3145728, , , ,11,2,1,3,1,5,1, , ,3,2, , , ,11, ,4096,2,128,2, , ,116736,24,156,1, , , , , , , , ,23463552,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-15 05:23:29.038 UTC, ,125,3165397,1368,19320,224, ,5, ,42, , , , , , , , , ,5,5, , , ,2,2,8, ,11, , , , , , , , , , , , , , ,945,1, ,369, , , , , ,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1479187348751,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,24145200,-1, , , , , , ,24, ,11, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , ,4, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-15 05:24:29.043 UTC, ,125,3165397,1368,19320,224, ,5, ,24, , , , , , , , , ,5,5, , , ,2,2,8, ,12, , , , , , , , , , , , , , ,945,1, ,369, , , , , ,50,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1479187348751,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,24145200,-1, , , , , , ,12, ,12, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:24:35.070 UTC, ,250,3161706,1240,15728, , ,4, ,38,4,0.11, , , , , , , ,4,4, ,4, ,3,1,7, ,28,6, , , , , , , , , , , , , ,4294968594,2,10000341,4294967637,1, ,4,8, ,38,38, , , , , ,1,6, , , , , , , , , , , , , , , , , , , , , , , , ,1511591074353,3145728, , , ,17,1,1,1,1,5,1, , ,3,2, , , ,17, ,96256,17, , , , ,129024,27,1071,1, , , , , , ,1,8,17499536,1, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:25:07.073 UTC, ,250,3162850,1368,16872, , ,4, ,3, , , , , , , , , ,4,4, , , ,3,1,7, , , , , , , , , , , , , , , , ,4294968594,2,10000341,4294967637, , , , , ,38,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511591074353,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,18003136,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:25:49.332 UTC, ,250,3160994,1240,15016, , ,4, ,21,4,0.19, , , , , , , ,4,4, ,2, ,4,1,7, ,20,9, , , , , , , , , , , , , ,4294969590,3, ,4294968770, , , , , ,33,33, , , , , ,1,32, , , , , , , , , , , , , , , , , , , , , , , , ,1511591148917,3145728, , , ,19,0, , , ,3, , , ,3, , , , ,19, ,6144,3, , , , ,120832,29, , , , , , , , ,1,10,15724592,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:26:49.339 UTC, ,250,3165506,1472,19304,224, ,5, ,43, , , , , , , , , ,5,5, , , ,4,2,8, ,8,2, , , , , , , , , , , , , ,4294969590,3, ,4294968770, , , , , ,33,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511591148917,3145728, , , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,6144,3, , , , , , , , , , ,16763784,1, , , , , , ,28, ,6, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , ,4, , , ,4, , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:27:49.350 UTC, ,250,3165506,1472,19304,224, ,5, ,24, , , , , , , , , ,5,5, , , ,4,2,8, ,12, , , , , , , , , , , , , , ,4294969590,3, ,4294968770, , , , , ,33,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511591148917,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,16931576,1, , , , , , ,12, ,12, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:28:20.616 UTC, ,250,3165282,1472,19304, , ,5, ,23, , , , , , , , , ,5,5, , , ,4,2,8, ,7, , , , , , , , , , , , , , ,4294969590,3, ,4294968770, , , , , ,33,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1511591148917,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,16931576,1, , , , , , ,15, ,7, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , 
2017-11-25 06:48:27.758 UTC, ,250,3162266,1472,16288, , ,4,1,26,4,0.15, , , , , , , ,4,4, ,2,1,4,1,7, ,26,11, , , , , , , , , , , , , ,4294970881,4, ,4294970288, , , , , ,30,30, , , , , ,1,50, , , , , , , , , , , , , , , , , , , , , , , , ,1511592507262,3145728, , , ,22,0, , , ,3, , , ,3, , , , ,22, ,6144,3, , , , ,126976,32, , , , , , , , ,1,9,16830024,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
